책 이름,판매 지수,평점,가격,리뷰 수,총페이지,무게,크기,카테고리,발매날짜,링크
신경 끄기의 기술 (지존 에디션),16425.0,9.7,16020.0,13.0,240.0,,140*207*20mm,자기계발,2023-05-31,https://www.yes24.com//Product/Goods/119132345
타키 포오의 이세계 여행사 2,27537.0,10.0,11700.0,3.0,160.0,,150*210*20mm,어린이,2023-04-25,https://www.yes24.com//Product/Goods/118567896
세상에서 제일 재밌는 종이접기,72066.0,9.6,12600.0,130.0,252.0,491.0,220*240*13mm,가정 살림,2018-08-24,https://www.yes24.com//Product/Goods/63592662
"그래서, 산티아고",13212.0,10.0,14400.0,4.0,296.0,,152*225*20mm,건강 취미,2023-05-31,https://www.yes24.com//Product/Goods/119131900
죽이고 싶은 아이 (10만부 기념 한정판 썸머 에디션),13899.0,,15120.0,,200.0,294.0,124*188*15mm,청소년,2023-06-07,https://www.yes24.com//Product/Goods/119124821
만화 화산귀환 3 ,25053.0,10.0,14400.0,9.0,320.0,,128*188*30mm,만화/라이트노벨,2023-05-10,https://www.yes24.com//Product/Goods/118763518
"사춘기 아들의 마음을 잡아주는, 부모의 말 공부",45825.0,10.0,15750.0,35.0,272.0,458.0,145*210*17mm,가정 살림,2023-04-24,https://www.yes24.com//Product/Goods/118469436
아주 위험한 과학책,33936.0,9.9,20700.0,47.0,400.0,874.0,170*220*30mm,자연과학,2023-04-27,https://www.yes24.com//Product/Goods/118468472
나의 월급 독립 프로젝트 (리마스터 에디션),113553.0,9.6,17820.0,11.0,332.0,610.0,152*225*20mm,경제 경영,2022-10-28,https://www.yes24.com//Product/Goods/114951396
2023 이기적 컴퓨터활용능력 2급 필기 기본서,48861.0,10.0,18900.0,12.0,608.0,1222.0,190*245*25mm,IT 모바일,2022-07-29,https://www.yes24.com//Product/Goods/111102308
다이어트 사이언스 2022,31689.0,9.5,19800.0,2.0,455.0,637.0,152*223*30mm,건강 취미,2022-03-23,https://www.yes24.com//Product/Goods/109086154
해커스 보카 Hackers Vocabulary,113862.0,9.4,15210.0,81.0,336.0,695.0,188*257*30mm,국어 외국어 사전,2015-07-01,https://www.yes24.com//Product/Goods/18410503
달리기를 말할 때 내가 하고 싶은 이야기,45879.0,8.8,13050.0,145.0,280.0,367.0,,에세이,2009-01-05,https://www.yes24.com//Product/Goods/3239082
109마리 동물 마라톤,53055.0,10.0,12600.0,2.0,44.0,390.0,297*210*15mm,유아,2023-05-03,https://www.yes24.com//Product/Goods/118715164
경제 읽어주는 남자의 15분 경제 특강 ,38283.0,10.0,18000.0,6.0,368.0,532.0,153*218*18mm,경제 경영,2023-05-15,https://www.yes24.com//Product/Goods/118630790
ПЕОю ЧЪЛч 100РЯРЧ БтРћ ,69153.0,9.1,13500.0,31.0,232.0,434.0,152*225*15mm,국어 외국어 사전,2021-11-10,https://www.yes24.com//Product/Goods/104826605
ГзРЬЦМКъЗТ БоЛѓНТ ПЕОю ЙЎРх 300 РдЙіИЉ ШЦЗУ,5190.0,,15120.0,,376.0,,147*200*30mm,국어 외국어 사전,2023-06-14,https://www.yes24.com//Product/Goods/119577585
ПјХЅЦаНК МеЧиЦђАЁЛч БтКЛМ­ 2,8997.0,10.0,30600.0,6.0,424.0,,190*260*30mm,수험서 자격증,2023-06-01,https://www.yes24.com//Product/Goods/119105270
2023 ПЁЕрРЊ АјРЮСпАГЛч 2Тї БтУтРРПы ПЙЛѓЙЎСІС§ АјРЮСпАГЛчЙ§ЗЩ Йз СпАГНЧЙЋ,21936.0,10.0,27000.0,15.0,352.0,,188*257*30mm,수험서 자격증,2023-05-15,https://www.yes24.com//Product/Goods/118796554
2023 УжНХЦЧ ПЁЕрРЊ АјБтОї М­ПяБГХыАјЛч NCS+РќАј НЧРќИ№РЧАэЛч 8+1ШИ,14772.0,9.8,21600.0,17.0,396.0,,210*297*30mm,수험서 자격증,2023-03-23,https://www.yes24.com//Product/Goods/117985658
"ГЪДТ, ОюДР АшР§ПЁ СзАэ НЭОю",8454.0,10.0,15120.0,1.0,404.0,492.0,128*188*30mm,소설/시/희곡,2023-06-07,https://www.yes24.com//Product/Goods/119244026
ОѓБМИИРИЗа ССОЦЧв Мі ОјОюПф 7 ЦЏРхЦЧ,17370.0,,13500.0,,168.0,200.0,128*188*12mm,만화/라이트노벨,2023-06-30,https://www.yes24.com//Product/Goods/119410607
ОюМ­ ПРММПф НЧЗТСіЛѓСжРЧ БГНЧПЁ 2ЧаГт Цэ 9 ,15450.0,10.0,7650.0,1.0,380.0,380.0,120*180*30mm,만화/라이트노벨,2023-06-08,https://www.yes24.com//Product/Goods/119133117
РмРмЧЯАд БзЗЏГЊ ДмДмЧЯАд,17031.0,9.5,16200.0,26.0,312.0,408.0,127*188*30mm,에세이,2023-05-11,https://www.yes24.com//Product/Goods/118922325
"АХСўИЛРЬ ЛзЛз, АэЙЋРхАЉ!",26553.0,9.7,12600.0,18.0,44.0,384.0,205*270*15mm,유아,2023-04-25,https://www.yes24.com//Product/Goods/118500480
СЖМС ИгЧЧ РсРчРЧНФРЧ Шћ,68472.0,9.6,17100.0,47.0,368.0,676.0,150*220*27mm,자기계발,2023-02-22,https://www.yes24.com//Product/Goods/117586189
ЙщОиОЦ 1 ,58338.0,9.8,13500.0,57.0,140.0,485.0,148*210*18mm,어린이,2023-01-27,https://www.yes24.com//Product/Goods/117079970
РЮЛ§РЧ ПЊЛч,105360.0,9.6,16200.0,91.0,328.0,446.0,124*210*30mm,에세이,2022-10-31,https://www.yes24.com//Product/Goods/114848694
ГЊДТ РхЛчРЧ НХРЬДй,66711.0,9.6,15120.0,79.0,248.0,440.0,148*210*20mm,경제 경영,2021-12-20,https://www.yes24.com//Product/Goods/105408661
РЬОюЗЩРЧ ИЖСіИЗ МіОї,178164.0,9.6,14850.0,196.0,320.0,480.0,135*210*30mm,인문,2021-10-26,https://www.yes24.com//Product/Goods/104692009
ШчЧбГВИХ 12,237900.0,9.8,13050.0,109.0,184.0,522.0,154*216*18mm,어린이,2022-11-30,https://www.yes24.com//Product/Goods/115467467
ПЉДќ ДмОю,5814.0,10.0,15300.0,2.0,272.0,,130*200*20mm,인문,2023-06-15,https://www.yes24.com//Product/Goods/119410542
МвГтАњ ЕЮДѕСіПЭ ПЉПьПЭ ИЛ,51294.0,9.7,16200.0,39.0,128.0,566.0,172*222*20mm,에세이,2020-04-20,https://www.yes24.com//Product/Goods/89898969
ЙЋБтАЁ ЕЧДТ НКХфИЎ,50298.0,9.4,13320.0,47.0,239.0,389.0,146*216*16mm,자기계발,2018-09-30,https://www.yes24.com//Product/Goods/64616922
АХРЮРЧ ИЎДѕНЪ,23004.0,,16200.0,,276.0,380.0,140*210*16mm,경제 경영,2023-05-26,https://www.yes24.com//Product/Goods/119119584
"초4, 지식책 읽기를 시작해야 합니다 ",5550.0,,16920.0,,328.0,562.0,150*220*20mm,가정 살림,2023-06-21,https://www.yes24.com//Product/Goods/119562951
쓰이는 영문법 2,27174.0,10.0,18900.0,5.0,272.0,628.0,174*243*20mm,국어 외국어 사전,2023-05-30,https://www.yes24.com//Product/Goods/118922418
2023 에듀윌 공인중개사 2차 기출응용 예상문제집 부동산공시법,20160.0,10.0,26100.0,20.0,352.0,,188*257*30mm,수험서 자격증,2023-05-15,https://www.yes24.com//Product/Goods/118796587
"2023·2024 큰별쌤 최태성의 별별한국사 7일의 기적 한국사능력검정시험 심화 (1,2,3급)",22500.0,10.0,14400.0,1.0,204.0,,235*310*20mm,수험서 자격증,2023-04-14,https://www.yes24.com//Product/Goods/118414309
나는 집 대신 땅에 투자한다,42111.0,9.8,18000.0,25.0,356.0,706.0,170*225*22mm,경제 경영,2023-03-31,https://www.yes24.com//Product/Goods/118163362
타키 포오 코믹 어드벤처 1 ,35016.0,9.8,11700.0,28.0,168.0,420.0,150*210*13mm,어린이,2023-03-20,https://www.yes24.com//Product/Goods/118034491
읽으면서 바로 써먹는 어린이 맞춤법 행성,47376.0,9.8,11700.0,14.0,232.0,358.0,152*190*14mm,어린이,2023-02-28,https://www.yes24.com//Product/Goods/117613206
파친코 2,308889.0,9.6,14220.0,91.0,380.0,540.0,140*205*30mm,소설/시/희곡,2022-08-25,https://www.yes24.com//Product/Goods/111680193
속뜻풀이 초등국어사전 (2022),49329.0,9.8,47700.0,57.0,1712.0,1278.0,130*188*80mm,어린이,2021-09-09,https://www.yes24.com//Product/Goods/105360118
친구의 전설,56541.0,9.8,12600.0,113.0,72.0,492.0,210*270*10mm,유아,2021-06-16,https://www.yes24.com//Product/Goods/102366588
당신이 옳다 (리커버판),69099.0,9.3,15750.0,317.0,316.0,540.0,145*217*30mm,인문,2018-10-10,https://www.yes24.com//Product/Goods/64694842
정의란 무엇인가,91365.0,9.3,13500.0,179.0,444.0,872.0,152*224*30mm,사회 정치,2014-11-20,https://www.yes24.com//Product/Goods/15156691
인지심리학,22746.0,9.6,29700.0,10.0,544.0,1200.0,153*215*35mm,인문,2023-05-24,https://www.yes24.com//Product/Goods/118986162
둘레둘레 트레킹,6660.0,,18900.0,,376.0,842.0,175*235*20mm,건강 취미,2023-06-15,https://www.yes24.com//Product/Goods/119485825
대화의 밀도,36015.0,9.9,16200.0,84.0,307.0,384.0,127*188*30mm,에세이,2023-01-20,https://www.yes24.com//Product/Goods/116900946
작별인사,260166.0,9.2,12600.0,226.0,308.0,458.0,128*188*30mm,소설/시/희곡,2022-09-05,https://www.yes24.com//Product/Goods/108887930
이웃집 백만장자 변하지 않는 부의 법칙,33276.0,9.1,15120.0,52.0,400.0,606.0,152*225*20mm,경제 경영,2019-12-18,https://www.yes24.com//Product/Goods/84901010
읽으면서 바로 써먹는 어린이 속담,81126.0,9.4,10800.0,128.0,224.0,349.0,152*190*20mm,어린이,2017-10-30,https://www.yes24.com//Product/Goods/54232177
장수탕 선녀님,72090.0,9.6,9900.0,188.0,44.0,380.0,105*280*7mm,유아,2012-08-30,https://www.yes24.com//Product/Goods/7445455
하유정쌤의 초등 바른 글씨 트레이닝 북,5280.0,,12420.0,,152.0,,188*255*20mm,어린이,2023-06-22,https://www.yes24.com//Product/Goods/119564137
또! 까면서 보는 해부학 만화,5400.0,,17910.0,,288.0,,152*225*20mm,자연과학,2023-06-26,https://www.yes24.com//Product/Goods/119457111
얼굴만으론 좋아할 수 없어요 7 일반판,13779.0,,5400.0,,168.0,194.0,128*188*12mm,만화/라이트노벨,2023-06-30,https://www.yes24.com//Product/Goods/119410583
156층 나무 집,68934.0,9.6,12600.0,13.0,292.0,,135*200*20mm,어린이,2023-02-25,https://www.yes24.com//Product/Goods/117985756
5천만 원으로 시작하는 미라클 기적의 재개발 재건축,46683.0,9.6,18000.0,31.0,332.0,666.0,150*224*20mm,경제 경영,2023-02-24,https://www.yes24.com//Product/Goods/117382411
파친코 1,333993.0,9.6,14220.0,155.0,388.0,558.0,140*205*30mm,소설/시/희곡,2022-07-27,https://www.yes24.com//Product/Goods/110641272
JLPT(일본어능력시험) 한권으로 끝내기 N3 ,54972.0,9.6,24300.0,14.0,680.0,1400.0,188*257*32mm,국어 외국어 사전,2021-10-11,https://www.yes24.com//Product/Goods/104074668
프로젝트 헤일메리,36537.0,9.5,16650.0,77.0,692.0,888.0,146*209*34mm,소설/시/희곡,2021-05-04,https://www.yes24.com//Product/Goods/101375755
댄 애리얼리 부의 감각,22818.0,8.9,16200.0,70.0,443.0,798.0,152*225*28mm,경제 경영,2018-07-25,https://www.yes24.com//Product/Goods/61980545
만복이네 떡집,117951.0,9.7,9900.0,127.0,56.0,234.0,155*223*15mm,어린이,2010-05-28,https://www.yes24.com//Product/Goods/3906369
푸른 사자 와니니,133158.0,9.3,9720.0,61.0,216.0,390.0,152*225*20mm,어린이,2015-06-25,https://www.yes24.com//Product/Goods/18841857
에브리데이 베이글,22665.0,9.8,19800.0,14.0,176.0,,190*250*20mm,가정 살림,2023-05-22,https://www.yes24.com//Product/Goods/118950093
행복배틀,9114.0,9.8,13500.0,26.0,376.0,392.0,128*188*30mm,소설/시/희곡,2023-04-10,https://www.yes24.com//Product/Goods/118055349
더 좋은 삶을 위한 철학,40074.0,9.7,16200.0,51.0,408.0,492.0,145*210*25mm,인문,2023-02-24,https://www.yes24.com//Product/Goods/117585439
2023 단기 합격 해커스공기업 NCS 통합 기본서 직업기초능력평가+직무수행능력평가,42039.0,9.8,21510.0,21.0,916.0,,188*257*40mm,수험서 자격증,2023-01-02,https://www.yes24.com//Product/Goods/116072405
베테랑의 공부,15930.0,9.9,16650.0,28.0,344.0,584.0,145*210*22mm,인문,2023-05-23,https://www.yes24.com//Product/Goods/119109154
집단 착각,24126.0,10.0,21600.0,5.0,420.0,640.0,152*225*26mm,인문,2023-05-03,https://www.yes24.com//Product/Goods/118785950
챗GPT 거대한 전환,35721.0,9.5,17100.0,30.0,408.0,704.0,152*225*24mm,경제 경영,2023-03-30,https://www.yes24.com//Product/Goods/117860088
이토록 평범한 미래,110886.0,9.3,12600.0,76.0,276.0,406.0,133*200*20mm,소설/시/희곡,2022-10-07,https://www.yes24.com//Product/Goods/113737429
다정한 것이 살아남는다,98877.0,8.9,19800.0,122.0,396.0,548.0,135*195*30mm,자연과학,2021-07-26,https://www.yes24.com//Product/Goods/102836095
상식을 뒤엎는 돈의 심리학,26004.0,9.6,16920.0,12.0,304.0,412.0,148*215*15mm,자기계발,2023-06-30,https://www.yes24.com//Product/Goods/119106186
2023 에듀윌 공인중개사 1차 기출응용 예상문제집 부동산학개론,19182.0,10.0,28800.0,18.0,464.0,,188*257*30mm,수험서 자격증,2023-04-27,https://www.yes24.com//Product/Goods/118530520
2023 에듀윌 공인중개사 1차 기출응용 예상문제집 민법 및 민사특별법,19623.0,9.9,28800.0,19.0,392.0,,188*257*30mm,수험서 자격증,2023-04-27,https://www.yes24.com//Product/Goods/118530259
슬램덩크 신장재편판 16,173856.0,9.8,6300.0,70.0,288.0,320.0,117*175*20mm,만화/라이트노벨,2018-11-14,https://www.yes24.com//Product/Goods/66360827
데미안 : 오리지널 초판본 표지디자인,28008.0,9.1,3300.0,13.0,220.0,318.0,130*190*20mm,소설/시/희곡,2017-01-01,https://www.yes24.com//Product/Goods/34705631
서울 자가에 대기업 다니는 김 부장 이야기 1,44148.0,9.4,13500.0,77.0,296.0,448.0,138*195*20mm,자기계발,2021-08-25,https://www.yes24.com//Product/Goods/103286195
나는 죽을 때까지 지적이고 싶다,6009.0,,15120.0,,276.0,422.0,140*210*20mm,에세이,2023-06-15,https://www.yes24.com//Product/Goods/119459107
2023 10일 만에 끝내는 해커스 OPIc 오픽 Advanced 공략,8961.0,10.0,22500.0,9.0,312.0,,188*257*30mm,국어 외국어 사전,2023-06-05,https://www.yes24.com//Product/Goods/119153435
뭔말 역사 용어 150 ,18987.0,10.0,18900.0,2.0,328.0,,170*225*30mm,어린이,2023-05-20,https://www.yes24.com//Product/Goods/118858219
리얼 오사카,35178.0,9.9,16920.0,12.0,316.0,604.0,152*215*20mm,건강 취미,2022-12-12,https://www.yes24.com//Product/Goods/115800325
슬램덩크 신장재편판 19,176496.0,9.9,6300.0,68.0,288.0,320.0,117*175*20mm,만화/라이트노벨,2018-11-14,https://www.yes24.com//Product/Goods/66360835
슬램덩크 신장재편판 17,173472.0,9.8,6300.0,64.0,288.0,320.0,117*175*20mm,만화/라이트노벨,2018-11-14,https://www.yes24.com//Product/Goods/66360829
밥 프록터 부의 시크릿,18063.0,10.0,16200.0,9.0,416.0,516.0,128*188*25mm,자기계발,2023-06-05,https://www.yes24.com//Product/Goods/118981200
이상한 과자 가게 전천당 17,73344.0,9.7,11700.0,52.0,176.0,296.0,136*194*15mm,어린이,2023-03-20,https://www.yes24.com//Product/Goods/117934149
생기부 필독서 100,64560.0,9.8,19800.0,15.0,392.0,480.0,140*200*23mm,청소년,2023-03-20,https://www.yes24.com//Product/Goods/117766549
나의 사주명리 : 심화 편,5160.0,,19800.0,,340.0,,138*210*30mm,인문,2023-06-26,https://www.yes24.com//Product/Goods/119652155
2024 써니 행정법총론,5250.0,,44100.0,,1200.0,,210*268*60mm,수험서 자격증,2023-06-26,https://www.yes24.com//Product/Goods/119568099
데일리 리포트 하루 15분의 힘,13494.0,,13050.0,,208.0,260.0,135*195*13mm,자기계발,2023-05-31,https://www.yes24.com//Product/Goods/119266322
굿바이 코드네임,33642.0,9.7,13500.0,10.0,344.0,566.0,135*200*25mm,어린이,2023-04-10,https://www.yes24.com//Product/Goods/118492985
사자마트 ,26403.0,10.0,12600.0,28.0,40.0,388.0,215*262*10mm,유아,2023-03-28,https://www.yes24.com//Product/Goods/118146024
비상식적 성공 법칙,89550.0,9.5,15300.0,33.0,284.0,382.0,140*205*18mm,자기계발,2022-06-30,https://www.yes24.com//Product/Goods/110103849
부의 인문학 (20만부 기념 개정증보판),79092.0,9.5,15300.0,34.0,332.0,522.0,152*225*30mm,경제 경영,2022-03-21,https://www.yes24.com//Product/Goods/107666677
달러구트 꿈 백화점 2 (레인보우 에디션),129267.0,9.4,12420.0,212.0,308.0,358.0,134*200*20mm,소설/시/희곡,2021-07-27,https://www.yes24.com//Product/Goods/102789938
[예스리커버] 인스타 브레인,94287.0,8.9,13500.0,90.0,296.0,422.0,152*210*20mm,인문,2020-05-15,https://www.yes24.com//Product/Goods/90176617
역사의 쓸모,81099.0,9.4,13500.0,397.0,296.0,568.0,147*218*20mm,역사,2019-06-14,https://www.yes24.com//Product/Goods/74360497
슬램덩크 신장재편판 20,178104.0,9.8,6300.0,79.0,288.0,320.0,117*175*20mm,만화/라이트노벨,2018-11-14,https://www.yes24.com//Product/Goods/66360837
삐뽀삐뽀 119 소아과,55506.0,9.3,26820.0,74.0,1120.0,2128.0,190*234*58mm,가정 살림,2016-07-15,https://www.yes24.com//Product/Goods/29646280
마음의 자유,8112.0,10.0,15300.0,3.0,276.0,358.0,130*190*20mm,에세이,2023-06-12,https://www.yes24.com//Product/Goods/119312100
정재승의 인류 탐험 보고서 6,21837.0,10.0,14220.0,14.0,152.0,,153*210*20mm,어린이,2023-05-30,https://www.yes24.com//Product/Goods/119180765
사계절 기억책,7281.0,10.0,15750.0,40.0,320.0,510.0,148*210*20mm,자연과학,2023-05-25,https://www.yes24.com//Product/Goods/119133261
2023 해커스 서울교통공사 NCS+전공 실전모의고사 8+1회,12774.0,10.0,20700.0,31.0,440.0,,188*257*30mm,수험서 자격증,2023-04-14,https://www.yes24.com//Product/Goods/118341475
한 번뿐인 인생은 어떻게 살아야 하는가,47172.0,,15120.0,,248.0,,128*188*15mm,에세이,2023-02-13,https://www.yes24.com//Product/Goods/118196036
혼자 공부하는 파이썬,69048.0,9.6,19800.0,52.0,552.0,1160.0,188*257*24mm,IT 모바일,2022-06-01,https://www.yes24.com//Product/Goods/109625396
예의 없는 친구들을 대하는 슬기로운 말하기 사전,107406.0,9.6,11700.0,63.0,140.0,254.0,153*210*9mm,어린이,2022-01-13,https://www.yes24.com//Product/Goods/105997192
소크라테스 익스프레스,87033.0,9.0,16200.0,166.0,524.0,686.0,140*220*35mm,인문,2021-04-28,https://www.yes24.com//Product/Goods/101317041
이토록 공부가 재미있어지는 순간,126261.0,9.4,13500.0,303.0,360.0,654.0,152*217*25mm,청소년,2020-07-27,https://www.yes24.com//Product/Goods/16384156
싯다르타,50373.0,9.1,7200.0,119.0,240.0,333.0,148*210*20mm,소설/시/희곡,2002-01-31,https://www.yes24.com//Product/Goods/257435
하룻밤에 다 읽는 경제 에스프레소 금융,14796.0,9.0,16200.0,2.0,308.0,434.0,140*210*20mm,경제 경영,2023-05-30,https://www.yes24.com//Product/Goods/119253399
한 권으로 끝내는 해커스 토익 700+ (LC+RC+VOCA) ,70917.0,9.8,17820.0,16.0,604.0,1190.0,188*257*26mm,국어 외국어 사전,2021-12-31,https://www.yes24.com//Product/Goods/105853213
슬램덩크 신장재편판 2,178683.0,9.8,5850.0,98.0,224.0,198.0,117*175*20mm,만화/라이트노벨,2018-08-24,https://www.yes24.com//Product/Goods/62921720
최고의 주식 최적의 타이밍,30102.0,9.0,17820.0,33.0,432.0,780.0,153*224*30mm,경제 경영,2012-06-20,https://www.yes24.com//Product/Goods/7240183
스즈키 바이올린 교본 1,60108.0,9.6,10800.0,42.0,29.0,326.0,230*310*8mm,예술,2009-12-17,https://www.yes24.com//Product/Goods/3645472
"왜 유명한 거야, 이 그림?",25500.0,10.0,12600.0,33.0,160.0,344.0,168*228*10mm,어린이,2022-09-26,https://www.yes24.com//Product/Goods/113448426
스토너 초판본 ,22773.0,9.6,16200.0,60.0,396.0,534.0,140*210*26mm,소설/시/희곡,2020-06-24,https://www.yes24.com//Product/Goods/90865381
원큐패스 손해평가사 기본서 1 ,7899.0,10.0,28800.0,4.0,424.0,,190*260*30mm,수험서 자격증,2023-05-10,https://www.yes24.com//Product/Goods/118714196
흔한남매 과학 탐험대 6 물리 2,145344.0,9.8,12600.0,29.0,204.0,646.0,190*255*15mm,어린이,2022-11-22,https://www.yes24.com//Product/Goods/115321167
2023 이기적 컴퓨터활용능력 1급 필기 기본서,31878.0,9.6,27900.0,12.0,936.0,1880.0,190*245*40mm,IT 모바일,2022-07-22,https://www.yes24.com//Product/Goods/110832649
프레임,70533.0,9.7,18000.0,39.0,308.0,602.0,140*225*23mm,자기계발,2021-03-02,https://www.yes24.com//Product/Goods/99640630
슬램덩크 신장재편판 18,173064.0,9.8,5850.0,73.0,288.0,320.0,117*175*20mm,만화/라이트노벨,2018-11-14,https://www.yes24.com//Product/Goods/66360832
슬램덩크 신장재편판 1,181251.0,9.7,6300.0,119.0,304.0,198.0,117*175*30mm,만화/라이트노벨,2018-08-24,https://www.yes24.com//Product/Goods/62921516
언스크립티드,57234.0,8.7,17820.0,94.0,495.0,844.0,152*225*30mm,경제 경영,2018-01-17,https://www.yes24.com//Product/Goods/57958368
털실타래 Vol.4 : 2023년 여름호,13392.0,,19800.0,,200.0,,235*297*10mm,건강 취미,2023-06-23,https://www.yes24.com//Product/Goods/119245934
2023 해커스경찰 갓대환 형사법 진도별 문제풀이 1000 제2차 시험 대비,18282.0,,34200.0,,552.0,,210*280*35mm,수험서 자격증,2023-06-02,https://www.yes24.com//Product/Goods/119185077
코미 양은 커뮤증입니다 26 ,12513.0,10.0,5400.0,1.0,192.0,192.0,128*188*20mm,만화/라이트노벨,2023-06-09,https://www.yes24.com//Product/Goods/119133297
배려하면서도 할 말은 하는 친구가 되고 싶어,23904.0,10.0,12150.0,54.0,112.0,254.0,168*230*7mm,어린이,2023-04-04,https://www.yes24.com//Product/Goods/118222341
2023 신용한 지방자치론,11460.0,9.8,26100.0,7.0,480.0,,210*264*30mm,수험서 자격증,2023-03-20,https://www.yes24.com//Product/Goods/117876684
원피스 ONE PIECE 104 ,61614.0,9.6,4950.0,52.0,220.0,,128*188*20mm,만화/라이트노벨,2023-02-06,https://www.yes24.com//Product/Goods/117024902
2023 ADsP 데이터 분석 준전문가,52149.0,9.1,27900.0,15.0,680.0,,188*254*35mm,IT 모바일,2023-01-20,https://www.yes24.com//Product/Goods/116752070
보도 섀퍼의 이기는 습관,86421.0,9.8,15300.0,88.0,272.0,574.0,140*210*20mm,자기계발,2022-03-18,https://www.yes24.com//Product/Goods/107977702
할머니의 용궁 여행,45951.0,9.6,10800.0,23.0,40.0,360.0,200*270*8mm,유아,2020-04-07,https://www.yes24.com//Product/Goods/89828801
지금 이대로 좋다 ,39306.0,9.7,13320.0,76.0,272.0,390.0,137*200*20mm,에세이,2019-10-30,https://www.yes24.com//Product/Goods/80739168
해커스 여행일본어 10분의 기적,51630.0,9.0,8820.0,11.0,164.0,,148*210*20mm,국어 외국어 사전,2019-05-13,https://www.yes24.com//Product/Goods/72334664
팩트풀니스,60291.0,9.2,17820.0,264.0,474.0,655.0,140*215*28mm,인문,2019-03-08,https://www.yes24.com//Product/Goods/69724044
슬램덩크 신장재편판 15,172308.0,9.7,6750.0,72.0,352.0,320.0,117*175*30mm,만화/라이트노벨,2018-11-14,https://www.yes24.com//Product/Goods/66360819
흔한남매 11,211188.0,9.8,13050.0,96.0,191.0,552.0,154*216*20mm,어린이,2022-07-28,https://www.yes24.com//Product/Goods/110836828
데이트 어 라이브 어나더 루트 ,10107.0,,7650.0,,324.0,324.0,118*180*30mm,만화/라이트노벨,2023-06-10,https://www.yes24.com//Product/Goods/119266887
우정 도둑,29766.0,10.0,15300.0,14.0,348.0,486.0,135*200*30mm,에세이,2023-05-17,https://www.yes24.com//Product/Goods/118955181
정재승의 인간 탐구 보고서 11,43782.0,10.0,14220.0,24.0,152.0,442.0,153*210*15mm,어린이,2023-03-22,https://www.yes24.com//Product/Goods/118054477
나미야 잡화점의 기적,26547.0,9.6,13050.0,12.0,456.0,546.0,135*195*30mm,소설/시/희곡,2022-12-19,https://www.yes24.com//Product/Goods/116586056
모든 것은 기본에서 시작한다,175344.0,9.7,14400.0,115.0,284.0,450.0,140*210*16mm,에세이,2021-10-15,https://www.yes24.com//Product/Goods/104086365
몬스터 차일드,99612.0,9.6,10800.0,33.0,212.0,356.0,147*210*14mm,어린이,2021-09-10,https://www.yes24.com//Product/Goods/103668412
바로 매출이 오르는 스마트 스토어,29061.0,9.7,16200.0,17.0,298.0,530.0,150*215*17mm,경제 경영,2023-05-24,https://www.yes24.com//Product/Goods/118710721
한국형 가치투자,65640.0,9.9,16200.0,35.0,296.0,528.0,153*224*18mm,경제 경영,2023-03-15,https://www.yes24.com//Product/Goods/117814220
히카루가 죽은 여름 1 ,35814.0,9.8,5400.0,41.0,180.0,262.0,230*331*12mm,만화/라이트노벨,2023-03-20,https://www.yes24.com//Product/Goods/117667765
초역 니체의 말,87639.0,9.1,14220.0,13.0,276.0,390.0,128*188*20mm,인문,2022-08-29,https://www.yes24.com//Product/Goods/112013526
부의 해답,9240.0,8.9,24300.0,30.0,428.0,740.0,152*225*30mm,자기계발,2022-03-02,https://www.yes24.com//Product/Goods/107663677
오백 년째 열다섯,73803.0,9.8,11250.0,96.0,220.0,384.0,145*220*14mm,청소년,2022-01-28,https://www.yes24.com//Product/Goods/106336411
하루 한장 초등 영어 파닉스+발음기호,110508.0,9.9,12600.0,42.0,232.0,720.0,225*275*13mm,어린이,2022-01-10,https://www.yes24.com//Product/Goods/105877309
경매 권리분석 이렇게 쉬웠어?,70197.0,9.6,16200.0,180.0,328.0,588.0,152*223*30mm,경제 경영,2019-01-15,https://www.yes24.com//Product/Goods/68724647
슬램덩크 신장재편판 11,168336.0,9.7,6300.0,65.0,312.0,312.0,117*175*20mm,만화/라이트노벨,2018-10-01,https://www.yes24.com//Product/Goods/64724550
슬램덩크 신장재편판 3,174114.0,9.8,6300.0,97.0,272.0,198.0,117*175*20mm,만화/라이트노벨,2018-08-24,https://www.yes24.com//Product/Goods/62921746
송사무장의 부동산 경매의 기술,59064.0,9.6,14400.0,129.0,312.0,560.0,152*223*19mm,경제 경영,2017-04-20,https://www.yes24.com//Product/Goods/38002304
영어책 한 권 외워봤니?,31302.0,8.9,12600.0,213.0,292.0,412.0,148*210*18mm,자기계발,2017-01-11,https://www.yes24.com//Product/Goods/35095534
어린 왕자,66408.0,9.4,10620.0,164.0,136.0,490.0,160*220*20mm,소설/시/희곡,2015-10-20,https://www.yes24.com//Product/Goods/22431294
마음설계자,10593.0,9.7,16650.0,13.0,412.0,546.0,140*210*23mm,자기계발,2023-05-23,https://www.yes24.com//Product/Goods/119120046
여기 가려고 주말을 기다렸어,21147.0,9.8,17820.0,21.0,344.0,574.0,148*210*18mm,건강 취미,2023-05-19,https://www.yes24.com//Product/Goods/118701264
이끼숲,26862.0,9.8,14220.0,26.0,280.0,410.0,135*197*16mm,소설/시/희곡,2023-05-04,https://www.yes24.com//Product/Goods/118597564
