책 이름,판매 지수,평점,가격,리뷰 수,총페이지,무게,크기,카테고리,발매날짜,링크
"2023 큰별쌤 최태성의 별별한국사 한국사능력검정시험 심화(1,2,3급) 하",219819.0,10.0,13500.0,6.0,304.0,986.0,300*225*30mm,수험서 자격증,2022-12-05,https://www.yes24.com//Product/Goods/116206662
스즈메의 문단속,256176.0,9.6,11700.0,40.0,360.0,384.0,130*188*30mm,소설/시/희곡,2023-01-13,https://www.yes24.com//Product/Goods/116887399
어머니의 유산,21588.0,9.5,16200.0,26.0,540.0,572.0,128*198*35mm,소설/시/희곡,2023-06-07,https://www.yes24.com//Product/Goods/119329647
감정은 사라져도 결과는 남는다,17100.0,10.0,15300.0,2.0,240.0,,120*188*20mm,에세이,2023-06-15,https://www.yes24.com//Product/Goods/119609405
원피스 ONE PIECE 105 ,105372.0,9.6,4950.0,23.0,188.0,188.0,128*188*20mm,만화/라이트노벨,2023-05-30,https://www.yes24.com//Product/Goods/118997130
타이탄의 도구들 (블랙 에디션),221205.0,9.2,16200.0,274.0,367.0,662.0,152*223*30mm,자기계발,2022-06-22,https://www.yes24.com//Product/Goods/37533966
해커스 토익 기출  VOCA 보카,346734.0,9.6,11610.0,258.0,556.0,701.0,148*210*24mm,국어 외국어 사전,2020-03-05,https://www.yes24.com//Product/Goods/67362730
도파민네이션,112668.0,9.2,16200.0,66.0,316.0,470.0,145*218*30mm,인문,2022-03-21,https://www.yes24.com//Product/Goods/108389546
부자 아빠 가난한 아빠 20주년 특별 기념판,345168.0,9.4,15300.0,229.0,446.0,631.0,148*210*30mm,경제 경영,2018-02-22,https://www.yes24.com//Product/Goods/58774995
불편한 편의점 2,757773.0,9.2,12600.0,178.0,320.0,406.0,135*200*30mm,소설/시/희곡,2022-08-10,https://www.yes24.com//Product/Goods/111088149
당신은 결국 무엇이든 해내는 사람,146016.0,9.3,15300.0,67.0,208.0,258.0,120*188*16mm,에세이,2022-04-20,https://www.yes24.com//Product/Goods/108743692
66일 인문학 대화법 ,95445.0,10.0,15750.0,27.0,304.0,,148*210*18mm,가정 살림,2023-04-24,https://www.yes24.com//Product/Goods/118534489
장하준의 경제학 레시피,167166.0,9.4,16200.0,42.0,376.0,496.0,145*212*18mm,경제 경영,2023-03-30,https://www.yes24.com//Product/Goods/117985747
최소한의 한국사,16080.0,,16200.0,,352.0,,146*210*30mm,역사,2023-06-21,https://www.yes24.com//Product/Goods/119458052
2023 박문각 공인중개사 김덕수의 민법 모아모아 한방,20475.0,,6300.0,,96.0,,190*260*15mm,수험서 자격증,2023-06-10,https://www.yes24.com//Product/Goods/119328524
고통의 비밀,91002.0,8.9,16020.0,10.0,352.0,524.0,152*225*18mm,건강 취미,2022-11-09,https://www.yes24.com//Product/Goods/115204374
세상 끝의 카페,66618.0,9.7,14850.0,16.0,200.0,254.0,132*195*20mm,자기계발,2023-02-24,https://www.yes24.com//Product/Goods/117632304
부자의 그릇,167577.0,9.4,13500.0,121.0,224.0,340.0,122*188*20mm,경제 경영,2020-12-14,https://www.yes24.com//Product/Goods/96087459
데일 카네기 인간관계론,309795.0,9.5,10350.0,348.0,352.0,448.0,150*225*19mm,자기계발,2019-10-07,https://www.yes24.com//Product/Goods/79297023
모순,120000.0,9.6,11700.0,213.0,308.0,398.0,128*188*30mm,소설/시/희곡,2013-04-01,https://www.yes24.com//Product/Goods/8759796
채권투자 처음공부 ,34458.0,9.6,18900.0,45.0,300.0,624.0,170*235*18mm,경제 경영,2023-05-05,https://www.yes24.com//Product/Goods/118443846
키위엔 영어회화 하루 5분의 기적,190872.0,9.8,17550.0,15.0,300.0,504.0,148*210*18mm,국어 외국어 사전,2022-12-05,https://www.yes24.com//Product/Goods/115475489
정철의 A.D. 영어학습법,22230.0,10.0,12600.0,5.0,204.0,370.0,152*223*13mm,종교,2023-06-07,https://www.yes24.com//Product/Goods/119456818
상처 받지 않는 영혼,46875.0,9.5,13500.0,37.0,304.0,508.0,150*210*30mm,인문,2014-05-08,https://www.yes24.com//Product/Goods/12981014
구미호뎐1938 (상)(하) 세트 ,13410.0,,39600.0,,772.0,,145*210*40mm,예술,2023-06-26,https://www.yes24.com//Product/Goods/119562774
최애의 아이 10 ,142527.0,9.6,5400.0,19.0,194.0,194.0,128*180*20mm,만화/라이트노벨,2023-05-30,https://www.yes24.com//Product/Goods/118997150
김락희의 선화 드로잉 vol.2,13440.0,,20700.0,,244.0,,260*190*20mm,예술,2023-06-28,https://www.yes24.com//Product/Goods/119652342
최선을 다하면 죽는다,25227.0,,13500.0,,220.0,260.0,120*205*20mm,에세이,2023-06-07,https://www.yes24.com//Product/Goods/119311211
거인의 노트,121902.0,9.6,16200.0,73.0,292.0,706.0,145*210*26mm,자기계발,2023-03-08,https://www.yes24.com//Product/Goods/117722000
김락희의 선화 드로잉 vol.1 ,13440.0,,26100.0,,304.0,,260*190*30mm,예술,2023-06-28,https://www.yes24.com//Product/Goods/119652587
몰입 Think hard!,95301.0,8.0,16200.0,196.0,290.0,524.0,153*224*20mm,자기계발,2007-12-10,https://www.yes24.com//Product/Goods/2783642
세상의 마지막 기차역,335547.0,9.6,12600.0,163.0,324.0,386.0,122*188*20mm,소설/시/희곡,2022-05-11,https://www.yes24.com//Product/Goods/109308932
당신이 플라시보다,37464.0,9.0,20700.0,8.0,464.0,660.0,152*225*30mm,인문,2016-04-20,https://www.yes24.com//Product/Goods/25961762
이지성의 1만 킬로미터,134931.0,9.8,16200.0,64.0,320.0,480.0,140*205*30mm,에세이,2023-04-20,https://www.yes24.com//Product/Goods/118413637
"어쩌다 마주친, 그대 대본집 1 ",11880.0,,19800.0,,530.0,,152*225*35mm,예술,2023-07-17,https://www.yes24.com//Product/Goods/119584125
부의 추월차선 (10주년 스페셜 에디션),211092.0,9.1,15750.0,56.0,392.0,672.0,152*225*30mm,경제 경영,2022-02-04,https://www.yes24.com//Product/Goods/106369008
회복탄력성의 힘 ,36930.0,10.0,16020.0,26.0,296.0,416.0,148*210*18mm,가정 살림,2023-06-15,https://www.yes24.com//Product/Goods/119149576
달콤 짭짤 코파츄 1,15072.0,10.0,11700.0,86.0,124.0,438.0,152*220*15mm,어린이,2023-06-02,https://www.yes24.com//Product/Goods/119268047
최애의 아이 1 ,91242.0,9.8,5400.0,62.0,220.0,216.0,128*180*20mm,만화/라이트노벨,2021-01-08,https://www.yes24.com//Product/Goods/97295912
2023 선재국어 군무원 대비 실전 봉투 모의고사,24321.0,10.0,9450.0,3.0,148.0,,257*365*20mm,수험서 자격증,2023-05-30,https://www.yes24.com//Product/Goods/119016670
66일 밥상머리 대화법 ,42525.0,10.0,16200.0,26.0,336.0,,148*210*30mm,가정 살림,2023-05-26,https://www.yes24.com//Product/Goods/119007670
진짜 챗GPT 활용법,69081.0,9.9,16200.0,18.0,304.0,518.0,152*220*17mm,IT 모바일,2023-03-21,https://www.yes24.com//Product/Goods/117936860
"비트코인, 그리고 달러의 지정학",52233.0,10.0,49500.0,2.0,400.0,,152*225*30mm,경제 경영,2023-04-15,https://www.yes24.com//Product/Goods/118534572
언제나 다음 떡볶이가 기다리고 있지,11070.0,,10800.0,,192.0,190.0,115*180*20mm,에세이,2023-06-14,https://www.yes24.com//Product/Goods/119580022
"어쩌다 마주친, 그대 대본집 2 ",10860.0,,19800.0,,530.0,,152*225*35mm,예술,2023-07-17,https://www.yes24.com//Product/Goods/119584148
최애의 아이 2 ,84723.0,9.8,5400.0,56.0,194.0,194.0,128*180*20mm,만화/라이트노벨,2021-04-13,https://www.yes24.com//Product/Goods/99270986
이기적 유전자 The Selfish Gene,162069.0,9.1,18000.0,126.0,632.0,716.0,145*210*35mm,자연과학,2018-10-20,https://www.yes24.com//Product/Goods/65067259
